Year,bt_anomaly_EGOM_Spring,sst_anomaly_EGOM_Spring,Heatwave_EGOM_Spring,GSI_EGOM_Spring,calfin_100m3_EGOM_Spring,pseudo_100m3_EGOM_Spring,Age.1_EGOM_Spring,SSB_EGOM_Spring,RSSB_EGOM_Spring,lAGE1_EGOM_Spring,Cod_Depth_Spring,Cod_Lat_Spring,K_rel_EGOM_Spring,age1_anomaly_EGOM_Spring
1974,,,,,,,,,,,-81.07909,41.64908356,,
1975,,,,,,,,,,,-82.191095,41.70223556,,
1976,,,,,,,,,,,-83.3031,41.75538757,,
1977,,,,,,,,,,,-88.93763,41.86823879,,
1978,,,,,,,,,,,-92.07885,41.88134632,,
1979,,,,,,,,,,,-94.730606,41.91023621,,
1980,,,,,,,,,,,-95.84242,41.93920347,,
1981,,,,,,,,,,,-95.23343,41.99021981,,
1982,-0.369997196,NA,NA,-0.660399437,0.166144662,-0.204297464,0.283,7.849514716,NA,0.249201086,-91.974686,41.99808215,NA,0.019545854
1983,-0.960022004,-0.692578056,20.692,-0.534840007,-0.021369379,0.653308989,0.6071,6.216384037,0.077342361,0.474431313,-91.14883,42.00880964,NA,-0.028406668
1984,-0.506762338,-0.302570569,65.0685,-0.414171642,NA,NA,0.2428,3.593137108,0.039058076,0.217366899,-89.2002,41.97182231,NA,-0.010670681
1985,0.030981654,-0.322476509,83.5684,0.53281688,-0.446409212,-0.524274413,0.1556,1.284028193,0.043304777,0.14461969,-89.69017,41.91890682,NA,-0.028729522
1986,0.316600618,-0.735419827,4.7697,0.822440196,-0.066946823,-0.142536409,2.6512,0.575291492,2.064752171,1.295055881,-88.31487,41.85577409,NA,0.001551519
1987,0.308902193,-0.332222419,NA,0.085913044,0.028445053,-0.497884161,0,0.581259565,0,0,-88.55023,41.83745091,NA,NA
1988,0.070930853,-0.872300007,NA,-0.400353751,NA,NA,1.9103,2.61003799,3.28648355,1.068256169,-87.71586,41.80750901,NA,-0.012638314
1989,-0.351170318,-0.241177386,NA,-0.333103836,NA,NA,0.0351,0.790831104,0.01344808,0.03449804,-88.192444,41.81485095,NA,-0.020216119
1990,-0.232930515,0.001898655,16.2356,-0.726076715,NA,NA,0,2.211514461,0,0,-93.200584,41.85532678,NA,NA
1991,0.241255606,0.174666264,73.1649,-0.141984898,0.144186112,-0.455593117,0,2.932168975,0,0,-102.38617,41.94412983,NA,0.181138955
1992,0.166461496,0.423377782,NA,0.679139973,-0.101123857,0.235955307,0.2111,0.323168524,0.071994487,0.191529038,-116.833885,42.06216118,0.967507298,-0.004242724
1993,-0.371294801,-0.870572719,NA,0.14976228,NA,NA,0.5409,2.362053619,1.673739736,0.432366661,-123.82059,42.14964501,0.957534426,-0.026573592
1994,0.058428978,-0.726462367,13.6273,0.765588424,-0.001240229,0.409159956,0.0351,1.061320569,0.014859951,0.03449804,-127.626236,42.23637554,1.079469729,-0.048709154
1995,0.982858106,0.645169061,NA,1.01686401,-0.19927724,-0.221578135,0.0444,NA,0.041834674,0.043442558,-120.099945,42.24562954,0.975667452,-2.91E-05
1996,0.63481436,0.469127393,NA,0.985549709,-0.481526022,-0.264034271,0.3113,NA,NA,0.271019012,-115.16951,42.22097717,1.003670825,-2.91E-05
1997,0.267128139,-0.617132714,NA,-0.435507132,0.001026499,-0.029723103,0.5556,NA,NA,0.441861323,-110.83524,42.15671064,1.091337959,-0.005661859
1998,0.253711858,-0.582502138,NA,-0.363091345,0.220526382,0.385389913,0.0634,0.598710209,NA,0.061471322,-106.643166,42.13183414,0.968935588,-0.005349915
1999,-1.004416543,0.470791789,70.4097,-0.080808514,-0.038254407,0.385746757,0.0444,0.805373061,0.074159417,0.043442558,-102.12453,42.13476365,0.919291344,-0.010670681
2000,0.701010006,1.073514517,219.8533,1.306942036,0.41435484,0.368933729,3.886,NA,4.825093103,1.586373973,-100.173584,42.16007586,1.027975025,-0.012162041
