Year,bt_anomaly_GBK_Fall,sst_anomaly_GBK_Fall,Heatwave_GBK_Fall,GSI_GBK_Fall,calfin_100m3_GBK_Fall,pseudo_100m3_GBK_Fall,Age.1_GBK_Fall,SSB_GBK_Fall,RSSB_GBK_Fall,lAGE1_GBK_Fall,Cod_Depth_Fall,Cod_Lat_Fall,K_rel_GBK_Fall,age1_anomaly_GBK_Fall
1974,,,,,,,,,,,-108.36,42.2,,
1975,,,,,,,,,,,-111.11,42.18,,
1976,,,,,,,,,,,-118.11,42.17,,
1977,,,,,,,,,,,-124.22,42.22,,
1978,,,,,,,,,,,-128.7,42.29,,
1979,,,,,,,,,,,-128.33,42.31,,
1980,,,,,,,,,,,-122.49,42.32,,
1981,,,,,,,,,,,-115.1,42.31,,
1982,-0.55306863,NA,NA,-0.453626334,-0.204666364,0.037570306,0.34,0.367109719,NA,0.292669614,-108.48,42.32,NA,0.19537165
1983,0.068267616,-0.347233803,16.616,-0.756451412,-0.04329749,0.131668392,0.4483,0.142196275,1.221160806,0.370390455,-112.16,42.37,NA,0.205605204
1984,0.033950796,1.25110448,98.5596,-0.113121853,-0.076214918,-0.169882571,1.094,2.931879852,7.69359112,0.739076112,-122.08,42.57,NA,-0.15695148
1985,0.521039465,0.226691121,NA,0.098878092,-0.371734598,-0.72356226,0.1906,0.912077612,0.065009485,0.174457382,-130.65,42.67,NA,0.079157398
1986,0.644110121,0.642281252,22.2298,0.699828581,-0.356282143,-0.532433531,2.9584,0.614867565,3.243583618,1.375839903,-130.36,42.63,NA,0.089580438
1987,-0.139469359,0.622514919,25.6023,0.401581262,-0.475461978,-0.571172849,0.1444,0.838732724,0.23484732,0.134880482,-124.52,42.48,NA,0.0026894
1988,-0.16000338,0.044634505,NA,-0.760979811,0.252870929,-0.440168696,0.5278,2.945489993,0.629282708,0.423828792,-121.86,42.34,NA,0.058880569
1989,-0.140208748,-0.782549139,NA,-0.823977252,-0.389411719,-0.412024902,1.036,3.379309327,0.351724162,0.710987099,-121.25,42.3,NA,0.114891789
1990,0.02758287,-0.602256992,8.0087,-0.963412951,-0.006964331,-0.003488152,0.475,2.323106612,0.140561267,0.38865799,-117.31,42.3,NA,-0.072341453
1991,0.764012108,-0.348946523,NA,-0.101144514,NA,NA,0.1751,0.148348767,0.075373209,0.16135325,-115.75,42.33,NA,0.070460726
1992,-0.245641539,-0.000106197,NA,1.176253239,-0.394260111,-0.04253071,0.1751,0.277850365,1.180326625,0.16135325,-114.41,42.24,0.979088914,0.149495304
1993,-0.585598629,-0.898860713,146.5747,0.552302322,-0.253197268,0.099693188,0.0856,0.197320021,0.308079495,0.08213283,-114.02,42.18,1.007191579,-0.050931663
1994,0.625885992,0.267272328,11.0239,0.471770839,-0.093971456,0.14495272,0.1312,1.117351884,0.664909721,0.123279016,-114.87,42.2,1.012528035,0.071244036
1995,0.381435508,0.149775253,107.0355,0.648124386,-0.181356627,0.261292901,0.0239,0.510149658,0.02138986,0.023618866,-123.57,42.3,0.967460416,-0.290677885
1996,-0.559283961,0.560213855,NA,1.469797914,0.244441604,0.056123491,0.2608,0.651243137,0.511222532,0.23174644,-128.39,42.38,1.022289257,-0.017808514
1997,0.1836422,-0.566181785,NA,-0.180893832,0.38683767,0.525016994,0.1078,0.82265201,0.165529575,0.102376067,-126.22,42.42,1.020435804,0.074487823
1998,-0.846091399,-0.59118925,NA,-0.353787919,0.100041647,0.153578463,0.1422,0.549090377,0.172855592,0.132956227,-120.41,42.4,1.010723599,0.327695256
1999,0.763392795,-0.6613117,49.4947,-0.841951125,0.076048089,0.323602022,0.0094,0.394817997,0.017119222,0.009356095,-118.69,42.41,1.015606855,-0.01459376
2000,0.838786873,0.417722194,186.5053,1.539377201,-0.215060242,0.322380349,0.0747,0.488721308,0.189201102,0.072041553,-108.5,42.42,1.000623976,0.092360219
2001,0.13887354,0.989885858,53.5317,0.690910613,0.195560601,0.195227249,0.0636,0.499078477,0.130135517,0.06165938,-101.85,42.47,0.978109566,-0.220948038
