Year,bt_anomaly_GBK_Spring,sst_anomaly_GBK_Spring,Heatwave_GBK_Spring,GSI_GBK_Spring,calfin_100m3_GBK_Spring,pseudo_100m3_GBK_Spring,Age.1_GBK_Spring,SSB_GBK_Spring,RSSB_GBK_Spring,lAGE1_GBK_Spring,Cod_Depth_Spring,Cod_Lat_Spring,K_rel_GBK_Spring,age1_anomaly_GBK_Spring,age6_anomaly_GBK_Spring
1974,,,,,,,,,,,-81.07909,41.64908356,,,
1975,,,,,,,,,,,-82.191095,41.70223556,,,
1976,,,,,,,,,,,-83.3031,41.75538757,,,
1977,,,,,,,,,,,-88.93763,41.86823879,,,
1978,,,,,,,,,,,-92.07885,41.88134632,,,
1979,,,,,,,,,,,-94.730606,41.91023621,,,
1980,,,,,,,,,,,-95.84242,41.93920347,,,
1981,,,,,,,,,,,-95.23343,41.99021981,,,
1982,-0.673284656,NA,NA,-0.453626334,-0.204666364,0.037570306,0.4362,88.30337558,NA,0.362000737,-91.974686,41.99808215,NA,-0.018685507,0.997676807
1983,-0.116949536,-0.347233803,16.616,-0.756451412,-0.04329749,0.131668392,0.222,7.272171377,0.00251406,0.200488861,-91.14883,42.00880964,NA,0.166922278,0.962839874
1984,-0.489951714,1.25110448,98.5596,-0.113121853,-0.076214918,-0.169882571,0.2538,8.516317679,0.034900168,0.22617894,-89.2002,41.97182231,NA,-0.072691038,0.926561427
1985,-0.019458973,0.226691121,NA,0.098878092,-0.371734598,-0.72356226,0.0594,21.78842933,0.006974845,0.05770271,-89.69017,41.91890682,NA,-0.031316467,1.238005938
1986,0.428825223,0.642281252,22.2298,0.699828581,-0.356282143,-0.532433531,1.226,12.68280589,0.056268397,0.800206253,-88.31487,41.85577409,NA,0.047566166,1.577313578
1987,0.299082062,0.622514919,25.6023,0.401581262,-0.475461978,-0.571172849,0,7.545191463,0,0,-88.55023,41.83745091,NA,NA,1.857336833
1988,-0.660975233,0.044634505,NA,-0.760979811,0.252870929,-0.440168696,0.7901,6.198081202,0.104715699,0.582271484,-87.71586,41.80750901,NA,-0.028476962,0.791060745
1989,-0.623092191,-0.782549139,NA,-0.823977252,-0.389411719,-0.412024902,0.2733,15.37300335,0.044094292,0.241611956,-88.192444,41.81485095,NA,0.002499703,0.936369674
1990,-0.457506875,-0.602256992,8.0087,-0.963412951,-0.006964331,-0.003488152,0.2349,12.30751748,0.015280033,0.210989995,-93.200584,41.85532678,NA,0.017279681,1.519453683
1991,-0.097108359,-0.348946523,NA,-0.101144514,NA,NA,1.7515,12.66297791,0.142311396,1.012146218,-102.38617,41.94412983,NA,0.02044213,0.563786559
1992,0.577797625,-0.000106197,NA,1.176253239,-0.394260111,-0.04253071,0.145,4.974241189,0.011450703,0.135404637,-116.833885,42.06216118,1.139829491,0.023679641,0.99401457
1993,-0.795132877,-0.898860713,146.5747,0.552302322,-0.253197268,0.099693188,0,3.443902835,0,0,-123.82059,42.14964501,1.072070669,NA,1.718474801
1994,0.384848879,0.267272328,11.0239,0.471770839,-0.093971456,0.14495272,0.1415,1.407931579,0.041087106,0.132343187,-127.626236,42.23637554,1.03554353,0.035199986,0.997676807
1995,0.591229953,0.149775253,107.0355,0.648124386,-0.181356627,0.261292901,0.0555,7.939253324,0.039419529,0.054014588,-120.099945,42.24562954,1.027854969,0.004946867,-1.853946825
1996,0.38930611,0.560213855,NA,1.469797914,0.244441604,0.056123491,0.0987,6.619280701,0.0124319,0.094127663,-115.16951,42.22097717,1.066377682,0.048221386,1.543008101
1997,-0.922894819,-0.566181785,NA,-0.180893832,0.38683767,0.525016994,0.0948,4.09403527,0.014321798,0.090571698,-110.83524,42.15671064,1.022312724,0.046614367,-2.558262859
1998,-0.217954023,-0.59118925,NA,-0.353787919,0.100041647,0.153578463,0.036,8.855316281,0.00879328,0.035367144,-106.643166,42.13183414,1.026418761,0.032606199,0.068125411
