Year,bt_anomaly_WGOM_Fall,sst_anomaly_WGOM_Fall,Heatwave_WGOM_Fall,GSI_WGOM_Fall,calfin_100m3_WGOM_Fall,pseudo_100m3_WGOM_Fall,Age.1_WGOM_Fall,SSB_WGOM_Fall,RSSB_WGOM_Fall,lAGE1_WGOM_Fall,Cod_Depth_Fall,Cod_Lat_Fall,K_rel_WGOM_Fall,age1_anomaly_WGOM_Fall,age6_anomaly_WGOM_Fall
1974,,,,,,,,,,,-108.36,42.2,,,
1975,,,,,,,,,,,-111.11,42.18,,,
1976,,,,,,,,,,,-118.11,42.17,,,
1977,,,,,,,,,,,-124.22,42.22,,,
1978,,,,,,,,,,,-128.7,42.29,,,
1979,,,,,,,,,,,-128.33,42.31,,,
1980,,,,,,,,,,,-122.49,42.32,,,
1981,,,,,,,,,,,-115.1,42.31,,,
1982,-1.001225868,NA,NA,-0.660399437,-0.370346233,0.160921573,1.4344,6.800000685,NA,0.88970032,-108.48,42.32,NA,0.164606965,NA
1983,-0.513232829,-0.669139301,42.6707,-0.534840007,-0.18237733,0.533611743,1.1673,1.803314193,0.171661747,0.773482153,-112.16,42.37,NA,0.174900459,4.919789546
1984,-0.247910174,-0.23947323,84.0123,-0.414171642,-0.562266622,0.010246053,0.6374,4.828459954,0.353460313,0.493109618,-122.08,42.57,NA,-0.049294652,1.717748061
1985,-0.064568531,0.068162485,63.1244,0.53281688,-0.092618952,-0.290107167,0.3416,5.126390605,0.070747195,0.293862932,-130.65,42.67,NA,-0.156125259,1.829328201
1986,0.196653507,-0.494290833,NA,0.822440196,-0.244537516,-0.242293196,0.1894,3.253952413,0.036946073,0.173448978,-130.36,42.63,NA,0.183151495,0.68943655
1987,-0.385231114,-0.287436511,NA,0.085913044,-0.209237648,-0.31503306,0.8243,2.069553598,0.253322697,0.601196352,-124.52,42.48,NA,-0.056351845,NA
1988,-0.174993582,-0.525532023,NA,-0.400353751,-0.102800394,-0.458877826,2.553,2.24770214,1.233599363,1.267792317,-121.86,42.34,NA,-0.050306627,2.12983721
1989,-0.522375556,-0.043753011,4.9868,-0.333103836,NA,NA,2.5092,1.470505647,1.116340086,1.255388091,-121.25,42.3,NA,0.142152585,NA
1990,-0.086306888,-0.016375511,15.0636,-0.726076715,NA,NA,0.2938,6.205307502,0.199795221,0.257583625,-117.31,42.3,NA,-0.081329021,-0.13195641
1991,0.239056073,-0.104528677,56.4989,-0.141984898,-0.557207777,-0.647034872,0.4421,1.6963326,0.071245462,0.366100385,-115.75,42.33,NA,0.087037803,NA
1992,-1.001330252,0.352230777,NA,0.679139973,0.023867074,0.064328708,0.5016,1.623214683,0.295696728,0.406531206,-114.41,42.24,1.005922218,0.043018461,-4.874582028
1993,-0.367605654,-0.944341236,NA,0.14976228,NA,NA,1.1338,0.927093196,0.698490478,0.757904428,-114.02,42.18,1.013394058,-0.165069904,-2.287346767
1994,0.594991509,-0.484229668,24.1372,0.765588424,0.115362022,0.371618168,1.0437,1.147165558,1.125776788,0.714761891,-114.87,42.2,1.00264175,-0.009349518,NA
1995,0.598109634,0.307300854,53.5133,1.01686401,-0.110450314,-0.380007986,0.2642,2.319206712,0.230306775,0.234439511,-123.57,42.3,0.993150584,-0.071872595,-2.384758913
1996,0.22489403,-0.442992087,NA,0.985549709,0.076955131,-0.076458668,0.3006,1.61769212,0.129613285,0.262825696,-128.39,42.38,1.001236997,0.08767273,-0.507692394
1997,0.501483969,-0.635016923,NA,-0.435507132,-0.292933082,0.553559789,0.5044,1.550725567,0.311802224,0.408394148,-126.22,42.42,1.012536703,0.06758487,NA
1998,-0.312104167,-0.459956342,NA,-0.363091345,0.174093765,0.160789206,0.4177,0.389856345,0.269357783,0.34903584,-120.41,42.4,1.007726088,0.151445168,1.307267385
1999,0.236070746,0.044530344,16.2461,-0.080808514,-0.135425789,-0.129145277,0.5319,2.898654341,1.364348705,0.426508795,-118.69,42.41,1.033739916,0.043922613,-0.705283341
