Year,bt_anomaly_WGOM_Spring,sst_anomaly_WGOM_Spring,Heatwave_WGOM_Spring,GSI_WGOM_Spring,calfin_100m3_WGOM_Spring,pseudo_100m3_WGOM_Spring,Age.1_WGOM_Spring,SSB_WGOM_Spring,RSSB_WGOM_Spring,lAGE1_WGOM_Spring,Cod_Depth_Spring,Cod_Lat_Spring,age1_anomaly_WGOM_Spring,age6_anomaly_WGOM_Spring,K_rel_WGOM_Spring
1974,,,,,,,,,,,-81.07909,41.64908356,,,
1975,,,,,,,,,,,-82.191095,41.70223556,,,
1976,,,,,,,,,,,-83.3031,41.75538757,,,
1977,,,,,,,,,,,-88.93763,41.86823879,,,
1978,,,,,,,,,,,-92.07885,41.88134632,,,
1979,,,,,,,,,,,-94.730606,41.91023621,,,
1980,,,,,,,,,,,-95.84242,41.93920347,,,
1981,,,,,,,,,,,-95.23343,41.99021981,,,
1982,-0.920583009,NA,NA,-0.660399437,-0.370346233,0.160921573,0.8114,8.868808223,NA,0.594100027,-91.974686,41.99808215,0.018635185,0.072682364,NA
1983,-0.586951373,-0.669139301,42.6707,-0.534840007,-0.18237733,0.533611743,0.8172,6.229044259,0.092143158,0.597296855,-91.14883,42.00880964,0.02200826,1.56429814,NA
1984,-0.365974024,-0.23947323,84.0123,-0.414171642,-0.562266622,0.010246053,0.2751,5.505902731,0.044164079,0.243024607,-89.2002,41.97182231,-0.019384038,-0.590049376,NA
1985,-0.047124705,0.068162485,63.1244,0.53281688,-0.092618952,-0.290107167,0.0657,5.727821216,0.011932648,0.06363186,-89.69017,41.91890682,0.010248223,0.267197216,NA
1986,0.413636314,-0.494290833,NA,0.822440196,-0.244537516,-0.242293196,0.377,4.534107008,0.065819093,0.31990722,-88.31487,41.85577409,0.003299385,1.34629167,NA
1987,0.264101685,-0.287436511,NA,0.085913044,-0.209237648,-0.31503306,0.1342,3.042492121,0.02959789,0.125927557,-88.55023,41.83745091,-0.004507343,2.413811242,NA
1988,-0.193105339,-0.525532023,NA,-0.400353751,-0.102800394,-0.458877826,0.552,2.61719243,0.181430215,0.439544422,-87.71586,41.80750901,-0.074423314,3.03896543,NA
1989,-0.04626262,-0.043753011,4.9868,-0.333103836,NA,NA,0.2628,3.252167345,0.100412945,0.233331478,-88.192444,41.81485095,0.001836539,3.441366651,NA
1990,-0.158655523,-0.016375511,15.0636,-0.726076715,NA,NA,0.1141,3.739803457,0.035084295,0.108046904,-93.200584,41.85532678,0.021698418,-0.067088968,NA
1991,0.211117554,-0.104528677,56.4989,-0.141984898,-0.557207777,-0.647034872,0.1695,4.022962224,0.045323237,0.156576307,-102.38617,41.94412983,0.039847806,0.319118244,NA
1992,0.212283964,0.352230777,NA,0.679139973,0.023867074,0.064328708,0.0435,6.478622532,0.010812928,0.042580448,-116.833885,42.06216118,0.005076018,1.084490998,1.004252353
1993,-0.599289941,-0.944341236,NA,0.14976228,NA,NA,0.1035,1.769084945,0.015975618,0.098486947,-123.82059,42.14964501,-0.033569174,-1.363081544,0.979395528
1994,0.11485399,-0.484229668,24.1372,0.765588424,0.115362022,0.371618168,0.0801,0.70970204,0.045277645,0.077053629,-127.626236,42.23637554,-0.039998461,-0.91378535,0.991610431
1995,0.639567115,0.307300854,53.5133,1.01686401,-0.110450314,-0.380007986,0.0515,2.169811042,0.072565664,0.050217716,-120.099945,42.24562954,-0.004602665,0.099544959,1.032281345
1996,0.251103029,-0.442992087,NA,0.985549709,0.076955131,-0.076458668,0,5.076036919,0,0,-115.16951,42.22097717,NA,0.837344694,1.002168921
1997,0.199297786,-0.635016923,NA,-0.435507132,-0.292933082,0.553559789,0.34,4.539899121,0.066981388,0.292669614,-110.83524,42.15671064,0.017670606,-2.036944777,0.995771902
