Dataset: Northeast US Fall,,,,,,
Species Name: American lobster (Homarus americanus),,,,,,
,,,,,,
HaulID,Stratum,LAT,LON,Depth,Year,wtcpue
197411 0 1010 00 1 0,1010,39.766667,-73.483333,33,1974,0
197411 0 1010 00 2 0,1010,40.133333,-73.466667,41,1974,0
197411 0 1010 00 3 0,1010,40.083333,-73.35,42,1974,0
197411 0 1010 00 4 0,1010,40.216667,-73.183333,41,1974,0
197411 0 1010 00 5 0,1010,40.583333,-72.716667,37,1974,0.9
197411 0 1010 00 6 0,1010,40.583333,-72.55,30,1974,0
197411 0 1020 00 1 0,1020,40,-71.816667,87,1974,0
197411 0 1020 00 2 0,1020,39.5,-72.533333,101,1974,0
197411 0 1020 00 3 0,1020,39.95,-73.216667,68,1974,0
197411 0 1020 00 4 0,1020,39.833333,-73,72,1974,0
197411 0 1020 00 5 0,1020,39.733333,-72.833333,75,1974,0.5
197411 0 1020 00 6 0,1020,39.883333,-72.516667,70,1974,19.1
197411 0 1020 00 7 0,1020,40.366667,-72.216667,62,1974,0.5
197411 0 1030 00 1 0,1030,39.483333,-72.433333,114,1974,0
197411 0 1030 00 2 0,1030,39.316667,-72.383333,146,1974,3.6
197411 0 1030 00 3 0,1030,39.183333,-72.583333,136,1974,0
197411 0 1040 00 1 0,1040,39.833333,-71.75,302,1974,0.9
197411 0 1040 00 2 0,1040,39.583333,-72.066667,201,1974,1.4
197411 0 1040 00 3 0,1040,39.516667,-72.35,434,1974,2.3
197411 0 1050 00 1 0,1050,41.05,-71.016667,33,1974,0
197411 0 1050 00 2 0,1050,40.716667,-72.1,46,1974,0
197411 0 1050 00 3 0,1050,40.883333,-72.083333,33,1974,0
197411 0 1050 00 4 0,1050,40.883333,-71.933333,33,1974,0
197411 0 1050 00 5 0,1050,40.783333,-72.233333,37,1974,0
197411 0 1050 00 6 0,1050,41.033333,-71.583333,42,1974,0
197411 0 1060 00 1 0,1060,40.55,-71.066667,75,1974,0
197411 0 1060 00 2 0,1060,40.35,-70.766667,106,1974,0
197411 0 1060 00 3 0,1060,40.183333,-71.55,88,1974,0
197411 0 1060 00 4 0,1060,40.016667,-71.733333,95,1974,0
197411 0 1060 00 5 0,1060,40.833333,-71.45,58,1974,0
197411 0 1060 00 6 0,1060,40.883333,-71.4,55,1974,0
197411 0 1060 00 7 0,1060,40.55,-71.783333,64,1974,0
197411 0 1060 00 8 0,1060,40.783333,-71.7,60,1974,0
197411 0 1070 00 1 0,1070,40.25,-70.8,118,1974,0
197411 0 1070 00 3 0,1070,40.05,-71.25,168,1974,0
197411 0 1080 00 1 0,1080,40.016667,-70.733333,236,1974,0.9
197411 0 1080 00 2 0,1080,39.983333,-71.1,338,1974,0
197411 0 1080 00 3 0,1080,39.866667,-71.65,267,1974,3.2
197411 0 1090 00 1 0,1090,40.6,-69.5,51,1974,4.5
197411 0 1190 00 4 0,1190,41.166667,-68.033333,44,1974,0
197411 0 1090 00 2 0,1090,40.916667,-70.483333,48,1974,0
197411 0 1190 00 5 0,1190,41.35,-67.883333,37,1974,0
197411 0 1090 00 3 0,1090,41.083333,-70.4,37,1974,0
197411 0 1190 00 6 0,1190,41.266667,-67.266667,48,1974,0
197411 0 1090 00 4 0,1090,40.766667,-70.066667,37,1974,0
197411 0 1190 00 7 0,1190,41.383333,-67.5,31,1974,0
197411 0 1090 00 5 0,1090,40.833333,-70.466667,55,1974,0
197411 0 1190 00 8 0,1190,41.816667,-67.383333,48,1974,0
